idx,timestamp,is_attack,fused_u,fused_b,fused_d,max_u,mean_u,min_b,mean_b,max_d,n_sensors,n_high_u
71,06/07/16 23,0,0.168943,0.624019,0.207038,0.998252,0.838961,0.001256,0.150309,0.353286,31,661
72,07/07/16 00,0,0.181062,0.480648,0.443163,0.998298,0.841356,0.000011,0.145071,0.850000,31,669
73,07/07/16 01,0,0.176424,0.306247,0.614166,0.998334,0.843417,0.000008,0.140615,0.850000,31,667
74,07/07/16 02,0,0.138461,0.749101,0.185280,0.998136,0.842369,0.000006,0.142853,0.661981,31,667
75,07/07/16 03,0,0.142550,0.730014,0.134528,0.998262,0.842748,0.000005,0.143042,0.515551,31,666
76,07/07/16 04,0,0.155987,0.689084,0.154929,0.998303,0.842814,0.000004,0.143391,0.401512,31,661
77,07/07/16 05,0,0.147311,0.723886,0.130339,0.998303,0.841825,0.000003,0.145209,0.312698,31,666
78,07/07/16 06,0,0.165173,0.691738,0.143089,0.997315,0.841869,0.000002,0.145516,0.243529,31,663
79,07/07/16 07,0,0.147815,0.716129,0.136056,0.997909,0.840089,0.000002,0.148246,0.189661,31,661
80,07/07/16 08,0,0.148460,0.713597,0.137943,0.998371,0.838997,0.000001,0.150025,0.147708,31,661
81,07/07/16 09,0,0.148947,0.711661,0.139392,0.997566,0.839410,0.000001,0.149304,0.350979,31,656
82,07/07/16 10,0,0.150605,0.710176,0.140507,0.997913,0.839138,0.000001,0.149908,0.273343,31,659
83,07/07/16 11,0,0.161470,0.694900,0.143630,0.997994,0.838966,0.000001,0.150329,0.212880,31,660
84,07/07/16 12,0,0.173321,0.668574,0.158105,0.998262,0.838624,0.000001,0.150931,0.165791,31,659
85,07/07/16 13,0,0.183296,0.644768,0.171935,0.997534,0.838637,0.000000,0.151087,0.150743,31,661
86,07/07/16 14,0,0.136788,0.734251,0.128961,0.998080,0.838249,0.000000,0.151713,0.169688,31,660
87,07/07/16 15,0,0.148679,0.735846,0.127008,0.997743,0.838305,0.000000,0.151713,0.171573,31,662
88,07/07/16 16,0,0.134344,0.739813,0.125843,0.997574,0.836794,0.000000,0.153785,0.133621,31,659
89,07/07/16 17,0,0.133919,0.740999,0.125082,0.997929,0.835428,0.000000,0.155663,0.104064,31,659
90,07/07/16 18,0,0.133658,0.741783,0.124559,0.998387,0.834600,0.000000,0.156770,0.101860,31,654
91,07/07/16 19,0,0.133488,0.742326,0.124186,0.998326,0.835307,0.000000,0.155521,0.289337,31,654
92,07/07/16 20,0,0.133371,0.742714,0.123915,0.997791,0.834635,0.000000,0.156404,0.225336,31,656
93,07/07/16 21,0,0.133288,0.742998,0.123714,0.998061,0.834820,0.000000,0.156208,0.175492,31,658
94,07/07/16 22,0,0.140483,0.743208,0.123563,0.998379,0.834696,0.000000,0.156437,0.136673,31,654
95,07/07/16 23,0,0.160787,0.708405,0.130808,0.998388,0.834512,0.000000,0.156753,0.154085,31,658
96,08/07/16 00,0,0.170424,0.682219,0.147357,0.998403,0.834372,0.000000,0.157009,0.144222,31,657
97,08/07/16 01,0,0.163742,0.686569,0.149689,0.998081,0.834248,0.001219,0.157174,0.123838,31,656
98,08/07/16 02,0,0.133081,0.743783,0.123136,0.998303,0.834340,0.000949,0.157015,0.104680,31,656
99,08/07/16 03,0,0.117388,0.781968,0.102911,0.998303,0.834510,0.000949,0.156733,0.169688,31,655
100,08/07/16 04,0,0.146923,0.743170,0.109907,0.998262,0.834766,0.001198,0.156325,0.169688,31,658
101,08/07/16 05,0,0.134574,0.773969,0.091456,0.998263,0.836077,0.001070,0.154527,0.234791,31,659
102,08/07/16 06,0,0.149164,0.705786,0.145050,0.997853,0.836796,0.000833,0.153417,0.234791,31,662
103,08/07/16 07,0,0.123578,0.791465,0.084958,0.997917,0.836682,0.000649,0.153673,0.182856,31,660
104,08/07/16 08,0,0.141574,0.732701,0.125725,0.998377,0.836685,0.000506,0.153623,0.229360,31,658
105,08/07/16 09,0,0.133507,0.756843,0.109650,0.998046,0.835655,0.001534,0.155075,0.178626,31,661
106,08/07/16 10,0,0.142128,0.738131,0.119741,0.998092,0.834902,0.001475,0.156158,0.139114,31,656
107,08/07/16 11,0,0.140500,0.736460,0.123041,0.998197,0.835366,0.001341,0.155626,0.135590,31,654
108,08/07/16 12,0,0.144984,0.737326,0.124111,0.998250,0.835947,0.001270,0.154794,0.175109,31,657
109,08/07/16 13,0,0.165452,0.669008,0.165540,0.998262,0.836963,0.001198,0.153158,0.246587,31,660
110,08/07/16 14,0,0.132984,0.746431,0.120585,0.998263,0.836452,0.001191,0.153830,0.192042,31,661
111,08/07/16 15,0,0.135851,0.754545,0.117362,0.997713,0.836366,0.001569,0.153969,0.149563,31,659
112,08/07/16 16,0,0.121690,0.788518,0.092455,0.997713,0.836732,0.001222,0.153259,0.251685,31,654
113,08/07/16 17,0,0.121793,0.771437,0.106770,0.997866,0.836777,0.000951,0.153161,0.259898,31,660
114,08/07/16 18,0,0.108900,0.812288,0.083513,0.998338,0.835322,0.000741,0.155247,0.202409,31,659
115,08/07/16 19,0,0.090000,0.844640,0.065360,0.997713,0.833828,0.001963,0.157396,0.157636,31,656
116,08/07/16 20,0,0.088233,0.842581,0.069186,0.997962,0.832630,0.001643,0.159088,0.122767,31,653
117,08/07/16 21,0,0.109374,0.811284,0.081611,0.998061,0.832390,0.001515,0.159502,0.115347,31,652
118,08/07/16 22,0,0.140416,0.755239,0.104345,0.998252,0.832153,0.001258,0.159891,0.157533,31,651
119,08/07/16 23,0,0.161734,0.689657,0.148609,0.998185,0.831842,0.001356,0.160309,0.205792,31,655
120,09/07/16 00,0,0.176596,0.627268,0.196136,0.997958,0.831901,0.001648,0.160220,0.238971,31,655
121,09/07/16 01,0,0.152681,0.680701,0.166618,0.997768,0.832049,0.001538,0.160045,0.186111,31,654
122,09/07/16 02,0,0.123732,0.777535,0.098733,0.998262,0.832074,0.001198,0.160027,0.144943,31,654
123,09/07/16 03,0,0.118631,0.797412,0.083957,0.998262,0.832133,0.001198,0.159906,0.115267,31,655
124,09/07/16 04,0,0.118320,0.793778,0.087902,0.998303,0.835462,0.000949,0.155297,0.234791,31,654
125,09/07/16 05,0,0.148842,0.707572,0.143586,0.998303,0.838652,0.000949,0.150443,0.278089,31,662
126,09/07/16 06,0,0.141941,0.736374,0.121685,0.997940,0.837848,0.001246,0.151761,0.216576,31,667
127,09/07/16 07,0,0.158448,0.701168,0.140384,0.998300,0.836650,0.000970,0.153571,0.168669,31,666
128,09/07/16 08,0,0.130658,0.762463,0.106879,0.997845,0.836268,0.001794,0.154152,0.131360,31,658
129,09/07/16 09,0,0.133264,0.743849,0.130219,0.997881,0.837177,0.001747,0.152640,0.327655,31,654
130,09/07/16 10,0,0.135008,0.747676,0.117316,0.998089,0.838821,0.001479,0.150521,0.255178,31,658
131,09/07/16 11,0,0.138426,0.743212,0.120565,0.998265,0.840034,0.001161,0.148965,0.198733,31,660
132,09/07/16 12,0,0.156695,0.713314,0.129991,0.998311,0.842631,0.000904,0.145481,0.188276,31,666
133,09/07/16 13,0,0.173381,0.640686,0.185933,0.998066,0.843883,0.001459,0.143558,0.252230,31,669
134,09/07/16 14,0,0.145763,0.724016,0.130221,0.997846,0.843104,0.001136,0.144673,0.196437,31,669
135,09/07/16 15,0,0.146941,0.719561,0.133498,0.998314,0.842273,0.000885,0.145867,0.152986,31,664
136,09/07/16 16,0,0.147808,0.716204,0.135988,0.998319,0.840980,0.000853,0.147732,0.123123,31,664
137,09/07/16 17,0,0.156161,0.708647,0.137891,0.997719,0.839906,0.001955,0.149278,0.132121,31,658
138,09/07/16 18,0,0.161883,0.692959,0.145159,0.997450,0.839038,0.002301,0.150507,0.131581,31,659
139,09/07/16 19,0,0.164019,0.684667,0.151313,0.997354,0.838570,0.002052,0.151207,0.129061,31,658
140,09/07/16 20,0,0.169225,0.672076,0.158699,0.997863,0.838289,0.001598,0.151656,0.134100,31,657
141,09/07/16 21,0,0.180026,0.649307,0.170667,0.998254,0.838621,0.001244,0.151305,0.146518,31,659
142,09/07/16 22,0,0.189722,0.610621,0.199657,0.998285,0.839480,0.001060,0.150085,0.193035,31,660
143,09/07/16 23,0,0.136788,0.734251,0.128961,0.998306,0.838129,0.000933,0.151922,0.150336,31,662
144,10/07/16 00,0,0.135115,0.737877,0.127008,0.997772,0.836885,0.001887,0.153576,0.117082,31,661
145,10/07/16 01,0,0.138989,0.739813,0.125843,0.997775,0.835937,0.001565,0.154810,0.119327,31,656
146,10/07/16 02,0,0.143626,0.735115,0.125082,0.997863,0.836439,0.001219,0.154143,0.169688,31,654
147,10/07/16 03,0,0.146538,0.742664,0.120788,0.998303,0.837304,0.000949,0.152906,0.234791,31,655
148,10/07/16 04,0,0.148419,0.710174,0.141406,0.998331,0.837654,0.000784,0.152364,0.234791,31,662
149,10/07/16 05,0,0.088083,0.835847,0.081097,0.998254,0.835683,0.001243,0.155035,0.182856,31,663
150,10/07/16 06,0,0.136867,0.724700,0.138433,0.998178,0.837771,0.000980,0.152197,0.234791,31,659
151,10/07/16 07,0,0.165046,0.643135,0.191819,0.997897,0.839282,0.000763,0.150146,0.234791,31,655
152,10/07/16 08,0,0.125487,0.787735,0.086778,0.998363,0.837724,0.000595,0.152273,0.182856,31,668
153,10/07/16 09,0,0.110255,0.816577,0.079712,0.998060,0.836957,0.001516,0.153399,0.142408,31,661
154,10/07/16 10,0,0.118534,0.800837,0.080629,0.998102,0.835522,0.001447,0.155372,0.110908,31,654
155,10/07/16 11,0,0.125956,0.779720,0.094324,0.998274,0.834774,0.001127,0.156428,0.116821,31,656
156,10/07/16 12,0,0.130232,0.765960,0.103808,0.998315,0.834973,0.000883,0.156199,0.113018,31,653
157,10/07/16 13,0,0.139170,0.756484,0.110576,0.998119,0.835489,0.001440,0.155529,0.144619,31,654
158,10/07/16 14,0,0.161137,0.695493,0.143369,0.998036,0.836018,0.001548,0.154638,0.207086,31,661
159,10/07/16 15,0,0.177555,0.613721,0.208724,0.997950,0.836978,0.001658,0.152941,0.284208,31,660
160,10/07/16 16,0,0.134224,0.766020,0.111417,0.998050,0.836224,0.001529,0.153986,0.221341,31,659
161,10/07/16 17,0,0.137646,0.752252,0.110102,0.998044,0.835471,0.001537,0.155107,0.172381,31,659
162,10/07/16 18,0,0.121354,0.785729,0.099323,0.998016,0.834862,0.001573,0.156020,0.134250,31,655
163,10/07/16 19,0,0.115386,0.798759,0.085855,0.998072,0.833922,0.001501,0.157365,0.104554,31,654
164,10/07/16 20,0,0.114223,0.813197,0.072579,0.998211,0.832876,0.001323,0.158831,0.101860,31,655
165,10/07/16 21,0,0.087842,0.845817,0.066341,0.998277,0.831879,0.001109,0.160250,0.079329,31,653
166,10/07/16 22,0,0.110276,0.816036,0.073688,0.997760,0.831643,0.001903,0.160640,0.116821,31,652
167,10/07/16 23,0,0.096144,0.827604,0.076252,0.997871,0.831062,0.001760,0.161473,0.090980,31,652
168,11/07/16 00,0,0.107835,0.821121,0.071476,0.997908,0.830849,0.001538,0.161755,0.101860,31,653
169,11/07/16 01,0,0.099697,0.827065,0.076749,0.998262,0.830857,0.001198,0.161762,0.094430,31,653
170,11/07/16 02,0,0.124594,0.786829,0.091350,0.998303,0.833063,0.000949,0.158688,0.234791,31,653
171,11/07/16 03,0,0.148557,0.709192,0.142251,0.998303,0.835586,0.000949,0.155275,0.234791,31,657
172,11/07/16 04,0,0.146549,0.744273,0.109178,0.997822,0.836086,0.001219,0.154500,0.228212,31,662
173,11/07/16 05,0,0.090400,0.837125,0.074700,0.998303,0.834542,0.000949,0.156544,0.177732,31,663
174,11/07/16 06,0,0.128339,0.750894,0.120767,0.998303,0.836354,0.000949,0.154068,0.234791,31,657
175,11/07/16 07,0,0.158683,0.665041,0.176277,0.998221,0.838895,0.001309,0.150295,0.234791,31,656
176,11/07/16 08,0,0.158951,0.692619,0.148429,0.997883,0.839294,0.001745,0.149749,0.214124,31,664
177,11/07/16 09,0,0.138145,0.745827,0.116028,0.997768,0.837713,0.001892,0.152036,0.166760,31,666
178,11/07/16 10,0,0.145978,0.727723,0.126299,0.997880,0.836619,0.001748,0.153644,0.129873,31,658
179,11/07/16 11,0,0.133162,0.754695,0.112143,0.997838,0.837271,0.001610,0.152855,0.114453,31,655
180,11/07/16 12,0,0.135656,0.748339,0.116728,0.998190,0.837885,0.001254,0.152075,0.139352,31,655
181,11/07/16 13,0,0.158664,0.702595,0.138740,0.998286,0.838764,0.000977,0.150774,0.204265,31,662
182,11/07/16 14,0,0.175584,0.622055,0.202361,0.998335,0.839966,0.000761,0.148800,0.278565,31,661
183,11/07/16 15,0,0.141839,0.737979,0.120182,0.998021,0.841381,0.001567,0.146997,0.216946,31,662
184,11/07/16 16,0,0.150507,0.718361,0.131131,0.997846,0.841952,0.001791,0.146309,0.209158,31,664
185,11/07/16 17,0,0.145770,0.723940,0.130290,0.997780,0.840703,0.001876,0.148088,0.162893,31,666
186,11/07/16 18,0,0.146946,0.719505,0.133549,0.997713,0.839772,0.001963,0.149460,0.127802,31,662
187,11/07/16 19,0,0.158486,0.706116,0.136026,0.997713,0.839106,0.001963,0.150467,0.138600,31,660
188,11/07/16 20,0,0.169303,0.680380,0.150317,0.997405,0.838662,0.002245,0.151152,0.142919,31,658
189,11/07/16 21,0,0.180390,0.653000,0.166610,0.997880,0.838595,0.001748,0.151323,0.153443,31,660
190,11/07/16 22,0,0.188803,0.615760,0.195437,0.997393,0.838986,0.002010,0.150756,0.192135,31,659
191,11/07/16 23,0,0.136390,0.736120,0.127490,0.997713,0.837420,0.001565,0.152851,0.149635,31,661
192,12/07/16 00,0,0.134807,0.739342,0.125851,0.997822,0.836166,0.001219,0.154515,0.116536,31,659
193,12/07/16 01,0,0.134109,0.740938,0.124953,0.998303,0.835498,0.000949,0.155449,0.111846,31,656
194,12/07/16 02,0,0.138832,0.741867,0.124395,0.998303,0.835277,0.000949,0.155727,0.118496,31,653
195,12/07/16 03,0,0.136380,0.746934,0.116685,0.998299,0.835199,0.000974,0.155877,0.131694,31,655
196,12/07/16 04,0,0.122811,0.783649,0.103075,0.997822,0.836451,0.001219,0.154089,0.234791,31,657
197,12/07/16 05,0,0.148356,0.710534,0.141109,0.998303,0.838309,0.000949,0.151493,0.234791,31,659
198,12/07/16 06,0,0.141842,0.759745,0.098413,0.998303,0.836812,0.000949,0.153551,0.182856,31,666
199,12/07/16 07,0,0.117359,0.801950,0.080691,0.998290,0.835436,0.001028,0.155446,0.142408,31,662
200,12/07/16 08,0,0.117615,0.797424,0.084961,0.997812,0.834305,0.001835,0.156956,0.110908,31,653
201,12/07/16 09,0,0.123718,0.779583,0.096699,0.997923,0.833482,0.001693,0.158031,0.101860,31,653
202,12/07/16 10,0,0.126943,0.768861,0.104196,0.997853,0.833214,0.001656,0.158394,0.113873,31,652
203,12/07/16 11,0,0.128840,0.761945,0.109214,0.998131,0.833008,0.001289,0.158650,0.101860,31,653
204,12/07/16 12,0,0.121901,0.782200,0.095900,0.998284,0.832590,0.001004,0.159209,0.104149,31,654
205,12/07/16 13,0,0.113390,0.798702,0.091475,0.998331,0.832551,0.000782,0.159291,0.098653,31,655
206,12/07/16 14,0,0.133296,0.758036,0.108668,0.998262,0.832978,0.001198,0.158733,0.120826,31,655
207,12/07/16 15,0,0.121296,0.752215,0.126489,0.998287,0.835656,0.001047,0.154805,0.384966,31,655
208,12/07/16 16,0,0.147647,0.739330,0.113023,0.997862,0.836453,0.001771,0.153763,0.299812,31,661
209,12/07/16 17,0,0.134256,0.773506,0.092238,0.998002,0.835672,0.001591,0.154885,0.233494,31,663
210,12/07/16 18,0,0.103133,0.833534,0.076051,0.998122,0.834510,0.001436,0.156564,0.181845,31,661
211,12/07/16 19,0,0.118455,0.801528,0.080017,0.998171,0.833495,0.001375,0.158040,0.141621,31,655
212,12/07/16 20,0,0.125899,0.780251,0.093850,0.998252,0.832987,0.001260,0.158791,0.110295,31,653
213,12/07/16 21,0,0.130194,0.766347,0.103459,0.998276,0.833908,0.001112,0.157617,0.141877,31,653
214,12/07/16 22,0,0.141439,0.756748,0.110333,0.997713,0.835031,0.001963,0.156145,0.158180,31,656
215,12/07/16 23,0,0.162494,0.686773,0.150733,0.997760,0.836379,0.001903,0.154061,0.223075,31,661
216,13/07/16 00,0,0.178348,0.605335,0.216317,0.997824,0.838336,0.001820,0.151027,0.290791,31,661
217,13/07/16 01,0,0.134914,0.752066,0.117267,0.997899,0.837482,0.001565,0.152241,0.226468,31,663
218,13/07/16 02,0,0.133628,0.757905,0.112469,0.998046,0.836723,0.001219,0.153355,0.176374,31,663
219,13/07/16 03,0,0.116224,0.782305,0.101471,0.998303,0.835856,0.000949,0.154644,0.137360,31,657
220,13/07/16 04,0,0.117486,0.807802,0.082483,0.998303,0.835518,0.000949,0.155141,0.169688,31,655
221,13/07/16 05,0,0.147010,0.742067,0.110924,0.998221,0.836814,0.001309,0.153318,0.234791,31,656
222,13/07/16 06,0,0.148485,0.710019,0.141496,0.997883,0.837821,0.001745,0.151758,0.241689,31,660
223,13/07/16 07,0,0.088367,0.843015,0.068618,0.997713,0.835912,0.001963,0.154437,0.188227,31,663
224,13/07/16 08,0,0.089848,0.838563,0.071589,0.997713,0.834520,0.001684,0.156376,0.146592,31,658
225,13/07/16 09,0,0.101668,0.818841,0.079491,0.997847,0.833643,0.001311,0.157570,0.114166,31,651
226,13/07/16 10,0,0.113091,0.812682,0.074227,0.997713,0.833234,0.001021,0.158180,0.121242,31,651
227,13/07/16 11,0,0.087872,0.849147,0.066537,0.997739,0.832504,0.000795,0.159200,0.094424,31,653
228,13/07/16 12,0,0.106126,0.814720,0.079154,0.997677,0.831907,0.000619,0.160060,0.093572,31,653
229,13/07/16 13,0,0.123442,0.782001,0.094557,0.997944,0.831691,0.000482,0.160424,0.110825,31,652
230,13/07/16 14,0,0.104148,0.807374,0.088478,0.998399,0.831505,0.000376,0.160673,0.086311,31,652
231,13/07/16 15,0,0.119659,0.785535,0.094806,0.998263,0.833322,0.001191,0.158091,0.242355,31,653
232,13/07/16 16,0,0.115732,0.795867,0.088401,0.998096,0.834240,0.001471,0.156908,0.188746,31,659
233,13/07/16 17,0,0.144901,0.755082,0.100017,0.997768,0.834803,0.001892,0.156192,0.161733,31,659
234,13/07/16 18,0,0.164591,0.684067,0.151342,0.997768,0.837041,0.001892,0.153003,0.238512,31,659
235,13/07/16 19,0,0.150955,0.698742,0.151648,0.997768,0.838819,0.001784,0.150514,0.303591,31,663
236,13/07/16 20,0,0.137893,0.726487,0.135621,0.998159,0.839001,0.001389,0.150196,0.298651,31,665
237,13/07/16 21,0,0.138986,0.725412,0.135602,0.998255,0.839093,0.001212,0.150176,0.232589,31,663
238,13/07/16 22,0,0.144616,0.739208,0.119967,0.998296,0.840136,0.000944,0.148777,0.185455,31,658
239,13/07/16 23,0,0.152300,0.705351,0.144602,0.998339,0.840882,0.000735,0.147539,0.255992,31,665
240,14/07/16 00,0,0.166144,0.688770,0.145086,0.997990,0.840971,0.001606,0.147578,0.199367,31,666
241,14/07/16 01,0,0.179278,0.650484,0.170238,0.998201,0.841005,0.001336,0.147607,0.172614,31,665
242,14/07/16 02,0,0.163407,0.686616,0.155461,0.997779,0.841037,0.001538,0.147615,0.139004,31,664
243,14/07/16 03,0,0.156301,0.704268,0.139430,0.998262,0.840406,0.001198,0.148550,0.118576,31,662
244,14/07/16 04,0,0.148456,0.713642,0.137901,0.998303,0.840405,0.000949,0.148480,0.234791,31,661
245,14/07/16 05,0,0.149203,0.707484,0.143313,0.998308,0.841057,0.000923,0.147405,0.282340,31,661
246,14/07/16 06,0,0.151714,0.710201,0.140484,0.997370,0.840925,0.002404,0.147727,0.219886,31,662
