window_idx,window_label,event_id,position,condition,rep,json_valid,action_str,action_class,max_uncertainty,threshold_permitted,whitelist_permitted,combined_permitted,detection_tp,detection_tn,detection_fp,detection_fn,llm_latency_ms,completion_tokens,prompt_tokens,reasoning_tokens
1727,0,1,onset,A,6,1,Monitor and adjust the water pressure in the distribution network based on real-time sensor data.,monitor,0.193190,1,1,1,0,1,0,0,2505.3,71,79,0
1727,0,1,onset,A,7,1,Monitor and adjust water flow based on sensor data,monitor,0.193190,1,1,1,0,1,0,0,2370.8,62,79,0
1727,0,1,onset,A,8,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.193190,1,1,1,0,1,0,0,2375.6,48,79,0
1727,0,1,onset,A,9,1,Monitor the water pressure in the distribution lines,monitor,0.193190,1,1,1,0,1,0,0,2408.0,50,79,0
1728,0,1,onset,A,0,1,Monitor and adjust water flow based on sensor data,monitor,0.215938,1,1,1,0,1,0,0,2411.0,63,79,0
1728,0,1,onset,A,1,1,Monitor sensor data for potential failures or anomalies,monitor,0.215938,1,1,1,0,1,0,0,2467.5,76,79,0
1728,0,1,onset,A,2,0,,unclear,0.215938,1,1,1,0,0,0,0,2341.8,50,79,0
1728,0,1,onset,A,3,1,Monitor and adjust water flow rates based on sensor data,monitor,0.215938,1,1,1,0,1,0,0,2407.9,61,79,0
1728,0,1,onset,A,4,0,,unclear,0.215938,1,1,1,0,0,0,0,2443.8,84,79,0
1728,0,1,onset,A,5,1,Monitor and adjust the water pressure in the distribution network based on sensor readings.,monitor,0.215938,1,1,1,0,1,0,0,2422.4,59,79,0
1728,0,1,onset,A,6,1,Monitor and adjust water flow based on sensor data,monitor,0.215938,1,1,1,0,1,0,0,2454.1,49,79,0
1728,0,1,onset,A,7,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.215938,1,1,1,0,1,0,0,2405.3,48,79,0
1728,0,1,onset,A,8,1,Monitor the water pressure in the distribution network using the pressure sensor and check for any anomalies,monitor,0.215938,1,1,1,0,1,0,0,2452.6,64,79,0
1728,0,1,onset,A,9,1,Monitor and adjust water flow based on sensor data,monitor,0.215938,1,1,1,0,1,0,0,2342.9,48,79,0
1729,0,1,onset,A,0,1,Monitor and adjust water flow based on sensor data,monitor,0.226855,1,1,1,0,1,0,0,2529.5,85,79,0
1729,0,1,onset,A,1,1,Monitor the water flow rate and pressure in the distribution network,monitor,0.226855,1,1,1,0,1,0,0,2398.7,60,79,0
1729,0,1,onset,A,2,1,Monitor the water flow rate and pressure in the distribution network,monitor,0.226855,1,1,1,0,1,0,0,2487.6,56,79,0
1729,0,1,onset,A,3,0,,unclear,0.226855,1,1,1,0,0,0,0,2403.6,49,79,0
1729,0,1,onset,A,4,1,Monitor and adjust pressure in the distribution system based on sensor readings,monitor,0.226855,1,1,1,0,1,0,0,2474.0,71,79,0
1729,0,1,onset,A,5,1,Monitor and adjust the water flow distribution system based on sensor data,monitor,0.226855,1,1,1,0,1,0,0,2493.5,53,79,0
1729,0,1,onset,A,6,1,Monitor and adjust water flow based on sensor readings,monitor,0.226855,1,1,1,0,1,0,0,2507.2,76,79,0
1729,0,1,onset,A,7,1,Monitor and adjust water pressure in the distribution network based on sensor readings.,monitor,0.226855,1,1,1,0,1,0,0,2495.7,78,79,0
1729,0,1,onset,A,8,1,Monitor the water pressure and flow rate in the distribution network,monitor,0.226855,1,1,1,0,1,0,0,2473.1,70,79,0
1729,0,1,onset,A,9,1,Monitor the water flow and pressure in the distribution network,monitor,0.226855,1,1,1,0,1,0,0,2318.1,45,79,0
1730,0,1,onset,A,0,0,,unclear,0.214445,1,1,1,0,0,0,0,2422.9,54,79,0
1730,0,1,onset,A,1,1,Monitor and adjust water pressure in the distribution network based on sensor readings,monitor,0.214445,1,1,1,0,1,0,0,2444.2,65,79,0
1730,0,1,onset,A,2,0,,unclear,0.214445,1,1,1,0,0,0,0,2397.5,63,79,0
1730,0,1,onset,A,3,1,Monitor and adjust water flow based on sensor readings,monitor,0.214445,1,1,1,0,1,0,0,2348.5,48,79,0
1730,0,1,onset,A,4,0,,unclear,0.214445,1,1,1,0,0,0,0,2387.7,47,79,0
1730,0,1,onset,A,5,0,,unclear,0.214445,1,1,1,0,0,0,0,2417.0,47,79,0
1730,0,1,onset,A,6,1,Monitor the water quality in the distribution network and initiate a maintenance alert if there are any signs of contamination or degradation.,safety,0.214445,1,1,1,0,0,1,0,2489.5,78,79,0
1730,0,1,onset,A,7,1,Monitor and adjust the flow rate of the distribution pipe based on sensor readings,monitor,0.214445,1,1,1,0,1,0,0,2426.4,51,79,0
1730,0,1,onset,A,8,1,Monitor and adjust water flow based on sensor data,monitor,0.214445,1,1,1,0,1,0,0,2625.5,92,79,0
1730,0,1,onset,A,9,1,Monitor the water flow and pressure in the distribution network using the current sensor states.,monitor,0.214445,1,1,1,0,1,0,0,2429.8,53,79,0
1767,1,1,recovery,A,0,0,,unclear,0.244128,1,1,1,0,0,0,0,2434.7,53,79,0
1767,1,1,recovery,A,1,1,Monitor and adjust water flow based on sensor readings,monitor,0.244128,1,1,1,0,0,0,1,2487.3,76,79,0
1767,1,1,recovery,A,2,1,Monitor sensor data for pressure and flow anomalies,monitor,0.244128,1,1,1,0,0,0,1,2511.9,78,79,0
1767,1,1,recovery,A,3,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.244128,1,1,1,0,0,0,1,2380.4,48,79,0
1767,1,1,recovery,A,4,1,Monitor the water pressure and flow rate in the distribution network,monitor,0.244128,1,1,1,0,0,0,1,2453.4,61,79,0
1767,1,1,recovery,A,5,1,Monitor and adjust water flow based on sensor data,monitor,0.244128,1,1,1,0,0,0,1,2349.7,50,79,0
1767,1,1,recovery,A,6,1,Monitor the water flow rate in the distribution network and adjust the pump accordingly.,monitor,0.244128,1,1,1,0,0,0,1,2484.6,78,79,0
1767,1,1,recovery,A,7,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.244128,1,1,1,0,0,0,1,2366.9,48,79,0
1767,1,1,recovery,A,8,1,Monitor and adjust water pressure in the distribution network based on sensor readings.,monitor,0.244128,1,1,1,0,0,0,1,2454.2,82,79,0
1767,1,1,recovery,A,9,1,Monitor the water pressure in the distribution network using the pressure sensor,monitor,0.244128,1,1,1,0,0,0,1,2443.9,58,79,0
1768,1,1,recovery,A,0,0,,unclear,0.245169,1,1,1,0,0,0,0,2550.5,81,79,0
1768,1,1,recovery,A,1,1,Monitor sensor data for potential failures or anomalies,monitor,0.245169,1,1,1,0,0,0,1,2393.8,59,79,0
1768,1,1,recovery,A,2,1,Monitor sensor data for pressure and temperature anomalies,monitor,0.245169,1,1,1,0,0,0,1,2427.6,37,79,0
1768,1,1,recovery,A,3,1,Monitor and adjust the water pressure in the distribution system based on sensor readings,monitor,0.245169,1,1,1,0,0,0,1,2507.4,63,79,0
1768,1,1,recovery,A,4,1,Monitor and adjust water flow rates based on sensor data,monitor,0.245169,1,1,1,0,0,0,1,2412.5,60,79,0
1768,1,1,recovery,A,5,0,,unclear,0.245169,1,1,1,0,0,0,0,2359.4,53,79,0
1768,1,1,recovery,A,6,0,,unclear,0.245169,1,1,1,0,0,0,0,2372.0,43,79,0
1768,1,1,recovery,A,7,1,Monitor and adjust water pressure in the distribution network based on real-time sensor data.,monitor,0.245169,1,1,1,0,0,0,1,2479.8,76,79,0
1768,1,1,recovery,A,8,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.245169,1,1,1,0,0,0,1,2336.8,46,79,0
1768,1,1,recovery,A,9,0,,unclear,0.245169,1,1,1,0,0,0,0,2394.3,49,79,0
1769,1,1,recovery,A,0,1,Monitor and adjust the water pressure in the distribution network based on sensor readings.,monitor,0.244799,1,1,1,0,0,0,1,2465.0,67,79,0
1769,1,1,recovery,A,1,0,,unclear,0.244799,1,1,1,0,0,0,0,2430.3,53,79,0
1769,1,1,recovery,A,2,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.244799,1,1,1,0,0,0,1,2479.2,50,79,0
1769,1,1,recovery,A,3,1,Monitor and adjust water flow based on sensor readings,monitor,0.244799,1,1,1,0,0,0,1,2531.1,88,79,0
1769,1,1,recovery,A,4,1,Monitor and adjust water flow based on sensor readings,monitor,0.244799,1,1,1,0,0,0,1,2492.1,82,79,0
1769,1,1,recovery,A,5,1,Monitor the water pressure and flow rate in the distribution network,monitor,0.244799,1,1,1,0,0,0,1,2448.6,67,79,0
1769,1,1,recovery,A,6,1,Monitor and adjust the water flow distribution system based on sensor data,monitor,0.244799,1,1,1,0,0,0,1,2392.9,57,79,0
1769,1,1,recovery,A,7,1,Monitor water quality and flow rate,monitor,0.244799,1,1,1,0,0,0,1,2368.7,47,79,0
1769,1,1,recovery,A,8,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.244799,1,1,1,0,0,0,1,2372.8,43,79,0
1769,1,1,recovery,A,9,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.244799,1,1,1,0,0,0,1,2401.6,47,79,0
1770,1,1,recovery,A,0,1,Monitor sensor data for leaks and pressure changes.,monitor,0.244111,1,1,1,0,0,0,1,2441.9,60,79,0
1770,1,1,recovery,A,1,0,,unclear,0.244111,1,1,1,0,0,0,0,2364.7,49,79,0
1770,1,1,recovery,A,2,1,Monitor sensor data for leaks and pressure changes,monitor,0.244111,1,1,1,0,0,0,1,2494.7,75,79,0
1770,1,1,recovery,A,3,1,Monitor the water pressure in the distribution lines,monitor,0.244111,1,1,1,0,0,0,1,2390.5,53,79,0
1770,1,1,recovery,A,4,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.244111,1,1,1,0,0,0,1,2480.3,48,79,0
1770,1,1,recovery,A,5,0,,unclear,0.244111,1,1,1,0,0,0,0,2594.0,103,79,0
1770,1,1,recovery,A,6,1,Monitor and adjust water pressure in the distribution network based on sensor data,monitor,0.244111,1,1,1,0,0,0,1,2475.3,76,79,0
1770,1,1,recovery,A,7,1,Monitor and adjust water flow based on sensor data,monitor,0.244111,1,1,1,0,0,0,1,2456.6,82,79,0
1770,1,1,recovery,A,8,1,Monitor sensor data for leaks and pressure fluctuations,monitor,0.244111,1,1,1,0,0,0,1,2480.0,73,79,0
1770,1,1,recovery,A,9,1,Monitor the water pressure in the distribution network,monitor,0.244111,1,1,1,0,0,0,1,2400.7,51,79,0
1771,1,1,recovery,A,0,1,Monitor and adjust water flow rates based on sensor data,monitor,0.250663,1,1,1,0,0,0,1,2387.8,43,79,0
1771,1,1,recovery,A,1,1,Monitor sensor data for leaks and pressure fluctuations,monitor,0.250663,1,1,1,0,0,0,1,2469.3,69,79,0
1771,1,1,recovery,A,2,1,Monitor and adjust water flow based on sensor data,monitor,0.250663,1,1,1,0,0,0,1,2370.1,47,79,0
1771,1,1,recovery,A,3,1,Monitor the water pressure in the distribution lines and adjust the pump accordingly.,monitor,0.250663,1,1,1,0,0,0,1,2495.6,79,79,0
1771,1,1,recovery,A,4,0,,unclear,0.250663,1,1,1,0,0,0,0,2563.0,79,79,0
1771,1,1,recovery,A,5,1,Monitor the water pressure in the distribution lines,monitor,0.250663,1,1,1,0,0,0,1,2462.0,50,79,0
1771,1,1,recovery,A,6,0,,unclear,0.250663,1,1,1,0,0,0,0,2433.9,54,79,0
1771,1,1,recovery,A,7,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.250663,1,1,1,0,0,0,1,2429.3,49,79,0
1771,1,1,recovery,A,8,0,,unclear,0.250663,1,1,1,0,0,0,0,2430.1,60,79,0
1771,1,1,recovery,A,9,1,Monitor the water pressure and flow rate in the distribution network using the current sensor data.,monitor,0.250663,1,1,1,0,0,0,1,2386.8,58,79,0
2332,0,2,onset,A,0,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.158074,1,1,1,0,1,0,0,2348.4,45,79,0
2332,0,2,onset,A,1,1,Monitor the water pressure in the distribution lines,monitor,0.158074,1,1,1,0,1,0,0,2416.1,50,79,0
2332,0,2,onset,A,2,1,Monitor and adjust water flow rates based on sensor data,monitor,0.158074,1,1,1,0,1,0,0,2373.3,44,79,0
2332,0,2,onset,A,3,1,Monitor the water pressure in the distribution lines,monitor,0.158074,1,1,1,0,1,0,0,2433.8,50,79,0
2332,0,2,onset,A,4,1,Monitor the water pressure and flow rate in the distribution network,monitor,0.158074,1,1,1,0,1,0,0,2425.3,60,79,0
2332,0,2,onset,A,5,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.158074,1,1,1,0,1,0,0,2497.9,94,79,0
2332,0,2,onset,A,6,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.158074,1,1,1,0,1,0,0,2330.5,48,79,0
2332,0,2,onset,A,7,0,,unclear,0.158074,1,1,1,0,0,0,0,2347.3,52,79,0
2332,0,2,onset,A,8,1,Monitor and adjust water flow based on sensor data,monitor,0.158074,1,1,1,0,1,0,0,2461.7,74,79,0
2332,0,2,onset,A,9,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.158074,1,1,1,0,1,0,0,2323.0,48,79,0
2333,0,2,onset,A,0,0,,unclear,0.175286,1,1,1,0,0,0,0,2403.3,48,79,0
2333,0,2,onset,A,1,1,Monitor for leaks and ensure proper drainage,monitor,0.175286,1,1,1,0,1,0,0,2418.2,58,79,0
2333,0,2,onset,A,2,0,,unclear,0.175286,1,1,1,0,0,0,0,2392.2,54,79,0
2333,0,2,onset,A,3,1,Monitor and adjust water flow based on sensor data,monitor,0.175286,1,1,1,0,1,0,0,2363.4,45,79,0
2333,0,2,onset,A,4,0,,unclear,0.175286,1,1,1,0,0,0,0,2712.0,155,79,0
2333,0,2,onset,A,5,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.175286,1,1,1,0,1,0,0,2315.4,50,79,0
2333,0,2,onset,A,6,0,,unclear,0.175286,1,1,1,0,0,0,0,2427.9,55,79,0
2333,0,2,onset,A,7,0,,unclear,0.175286,1,1,1,0,0,0,0,2470.3,76,79,0
2333,0,2,onset,A,8,0,,unclear,0.175286,1,1,1,0,0,0,0,2600.1,88,79,0
2333,0,2,onset,A,9,1,Monitor and adjust water flow based on sensor data,monitor,0.175286,1,1,1,0,1,0,0,2356.5,47,79,0
2334,0,2,onset,A,0,0,,unclear,0.191065,1,1,1,0,0,0,0,2380.6,54,79,0
2334,0,2,onset,A,1,1,Check for system failures and prioritize maintenance,monitor,0.191065,1,1,1,0,1,0,0,2267.0,28,79,0
2334,0,2,onset,A,2,1,Monitor and adjust water flow based on sensor data,monitor,0.191065,1,1,1,0,1,0,0,2555.2,69,79,0
2334,0,2,onset,A,3,1,Monitor and adjust flow rate based on sensor data,monitor,0.191065,1,1,1,0,1,0,0,2352.7,48,79,0
2334,0,2,onset,A,4,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.191065,1,1,1,0,1,0,0,2391.2,48,79,0
2334,0,2,onset,A,5,1,Monitor and adjust the water pressure in the distribution network based on sensor readings,monitor,0.191065,1,1,1,0,1,0,0,2470.3,68,79,0
2334,0,2,onset,A,6,1,Monitor and adjust water pressure in the distribution network based on sensor readings,monitor,0.191065,1,1,1,0,1,0,0,2517.4,71,79,0
2334,0,2,onset,A,7,0,,unclear,0.191065,1,1,1,0,0,0,0,2441.0,59,79,0
2334,0,2,onset,A,8,1,Monitor and adjust water flow based on sensor readings,monitor,0.191065,1,1,1,0,1,0,0,2469.2,83,79,0
2334,0,2,onset,A,9,1,Monitor and adjust the flow rate of the distribution network based on sensor data,monitor,0.191065,1,1,1,0,1,0,0,2467.9,70,79,0
2335,0,2,onset,A,0,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.210778,1,1,1,0,1,0,0,2421.9,50,79,0
2335,0,2,onset,A,1,1,Monitor the water pressure in the distribution lines,monitor,0.210778,1,1,1,0,1,0,0,2410.3,45,79,0
2335,0,2,onset,A,2,0,,unclear,0.210778,1,1,1,0,0,0,0,2383.6,46,79,0
2335,0,2,onset,A,3,1,Monitor and adjust the flow rate of the water distribution network based on real-time sensor data,monitor,0.210778,1,1,1,0,1,0,0,2537.6,89,79,0
2335,0,2,onset,A,4,1,Monitor and adjust water flow distribution parameters based on sensor data,monitor,0.210778,1,1,1,0,1,0,0,2535.0,68,79,0
2335,0,2,onset,A,5,1,Monitor the water pressure and flow rate in the distribution network using the current sensor data.,monitor,0.210778,1,1,1,0,1,0,0,2372.0,56,79,0
2335,0,2,onset,A,6,1,Monitor sensor data for leaks and pressure fluctuations,monitor,0.210778,1,1,1,0,1,0,0,2474.3,79,79,0
2335,0,2,onset,A,7,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.210778,1,1,1,0,1,0,0,2395.5,48,79,0
2335,0,2,onset,A,8,1,Monitor the water pressure and flow rate in the distribution network,monitor,0.210778,1,1,1,0,1,0,0,2632.5,102,79,0
2335,0,2,onset,A,9,1,Monitor sensor data for leaks or pressure issues,monitor,0.210778,1,1,1,0,1,0,0,2431.7,68,79,0
2336,0,2,onset,A,0,1,Monitor sensor data for potential failures or anomalies,monitor,0.150594,1,1,1,0,1,0,0,2428.0,54,79,0
2336,0,2,onset,A,1,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.150594,1,1,1,0,1,0,0,2515.0,92,79,0
2336,0,2,onset,A,2,1,Monitor and adjust the water pressure in the distribution system based on sensor readings.,monitor,0.150594,1,1,1,0,1,0,0,2425.0,60,79,0
2336,0,2,onset,A,3,0,,unclear,0.150594,1,1,1,0,0,0,0,2425.4,47,79,0
2336,0,2,onset,A,4,1,Monitor and adjust water flow based on sensor data,monitor,0.150594,1,1,1,0,1,0,0,2410.5,48,79,0
2336,0,2,onset,A,5,1,Monitor the water pressure in the distribution system and adjust the pump accordingly.,monitor,0.150594,1,1,1,0,1,0,0,2448.0,62,79,0
2336,0,2,onset,A,6,1,Monitor the water flow and pressure in the distribution network,monitor,0.150594,1,1,1,0,1,0,0,2537.9,106,79,0
2336,0,2,onset,A,7,1,Monitor sensor data for leaks and ensure compliance with water quality standards.,monitor,0.150594,1,1,1,0,1,0,0,2436.9,71,79,0
2336,0,2,onset,A,8,1,Monitor and adjust flow rates based on sensor data,monitor,0.150594,1,1,1,0,1,0,0,2413.8,62,79,0
2336,0,2,onset,A,9,1,Monitor the water flow rate and pressure in the distribution network,monitor,0.150594,1,1,1,0,1,0,0,2454.6,79,79,0
2391,1,2,recovery,A,0,0,,unclear,0.179318,1,1,1,0,0,0,0,2452.7,67,79,0
2391,1,2,recovery,A,1,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.179318,1,1,1,0,0,0,1,2438.4,48,79,0
2391,1,2,recovery,A,2,1,Monitor and adjust water flow based on sensor data,monitor,0.179318,1,1,1,0,0,0,1,2423.4,50,79,0
2391,1,2,recovery,A,3,1,Monitor the water pressure and flow rate in the distribution network,monitor,0.179318,1,1,1,0,0,0,1,2451.5,61,79,0
2391,1,2,recovery,A,4,1,Monitor the water pressure in the distribution lines,monitor,0.179318,1,1,1,0,0,0,1,2367.1,50,79,0
2391,1,2,recovery,A,5,1,Monitor and adjust water flow based on sensor data,monitor,0.179318,1,1,1,0,0,0,1,2460.3,69,79,0
2391,1,2,recovery,A,6,1,Monitor and adjust water flow based on sensor data,monitor,0.179318,1,1,1,0,0,0,1,2484.0,48,79,0
2391,1,2,recovery,A,7,1,Monitor sensor data for leaks and ensure compliance with regulatory standards,monitor,0.179318,1,1,1,0,0,0,1,2503.4,67,79,0
2391,1,2,recovery,A,8,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.179318,1,1,1,0,0,0,1,2403.0,48,79,0
2391,1,2,recovery,A,9,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.179318,1,1,1,0,0,0,1,2459.0,54,79,0
2392,1,2,recovery,A,0,1,Monitor system temperature and pressure sensors,monitor,0.167899,1,1,1,0,0,0,1,2415.0,35,79,0
2392,1,2,recovery,A,1,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.167899,1,1,1,0,0,0,1,2404.4,48,79,0
2392,1,2,recovery,A,2,0,,unclear,0.167899,1,1,1,0,0,0,0,2574.5,94,79,0
2392,1,2,recovery,A,3,0,,unclear,0.167899,1,1,1,0,0,0,0,2411.2,54,79,0
2392,1,2,recovery,A,4,0,,unclear,0.167899,1,1,1,0,0,0,0,2471.4,59,79,0
2392,1,2,recovery,A,5,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.167899,1,1,1,0,0,0,1,2455.1,64,79,0
2392,1,2,recovery,A,6,1,Monitor and adjust water flow based on sensor data,monitor,0.167899,1,1,1,0,0,0,1,2463.6,45,79,0
2392,1,2,recovery,A,7,1,Monitor the water pressure in the distribution lines and identify any anomalies,monitor,0.167899,1,1,1,0,0,0,1,2470.6,57,79,0
2392,1,2,recovery,A,8,1,Monitor the water pressure and flow rate in the distribution network,monitor,0.167899,1,1,1,0,0,0,1,2468.9,72,79,0
2392,1,2,recovery,A,9,1,Monitor sensor data for pressure and flow anomalies,monitor,0.167899,1,1,1,0,0,0,1,2382.2,44,79,0
2393,1,2,recovery,A,0,1,Monitor and adjust water pressure in the distribution network based on sensor readings.,monitor,0.126926,1,1,1,0,0,0,1,2560.4,64,79,0
2393,1,2,recovery,A,1,1,Monitor the water pressure in the distribution lines,monitor,0.126926,1,1,1,0,0,0,1,2370.3,51,79,0
2393,1,2,recovery,A,2,0,,unclear,0.126926,1,1,1,0,0,0,0,2526.9,84,79,0
2393,1,2,recovery,A,3,1,Monitor and adjust water flow rates based on sensor data,monitor,0.126926,1,1,1,0,0,0,1,2501.8,81,79,0
2393,1,2,recovery,A,4,1,Monitor the water pressure in the distribution lines to ensure it is within safe limits.,monitor,0.126926,1,1,1,0,0,0,1,2418.2,60,79,0
2393,1,2,recovery,A,5,1,Monitor sensor data for leaks and ensure pressure levels are within acceptable limits.,monitor,0.126926,1,1,1,0,0,0,1,2426.4,67,79,0
2393,1,2,recovery,A,6,0,,unclear,0.126926,1,1,1,0,0,0,0,2474.9,48,79,0
2393,1,2,recovery,A,7,0,,unclear,0.126926,1,1,1,0,0,0,0,2454.0,51,79,0
2393,1,2,recovery,A,8,1,Monitor and adjust water flow based on sensor readings,monitor,0.126926,1,1,1,0,0,0,1,2443.0,64,79,0
2393,1,2,recovery,A,9,1,Monitor sensor data for leaks and ensure compliance with safety standards.,monitor,0.126926,1,1,1,0,0,0,1,2436.6,77,79,0
2394,1,2,recovery,A,0,1,Monitor sensor data for leaks and pressure fluctuations,monitor,0.135480,1,1,1,0,0,0,1,2375.7,68,79,0
2394,1,2,recovery,A,1,1,Monitor the water flow rate in the distribution network and identify any anomalies,monitor,0.135480,1,1,1,0,0,0,1,2555.4,84,79,0
2394,1,2,recovery,A,2,1,Monitor and adjust water flow based on sensor data,monitor,0.135480,1,1,1,0,0,0,1,2502.9,95,79,0
2394,1,2,recovery,A,3,0,,unclear,0.135480,1,1,1,0,0,0,0,14311.1,4096,79,0
2394,1,2,recovery,A,4,0,,unclear,0.135480,1,1,1,0,0,0,0,2563.4,52,79,0
2394,1,2,recovery,A,5,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.135480,1,1,1,0,0,0,1,2410.7,50,79,0
2394,1,2,recovery,A,6,1,Monitor sensor status and prioritize critical parameters,monitor,0.135480,1,1,1,0,0,0,1,2434.5,59,79,0
2394,1,2,recovery,A,7,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.135480,1,1,1,0,0,0,1,2357.2,48,79,0
2394,1,2,recovery,A,8,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.135480,1,1,1,0,0,0,1,2492.4,78,79,0
2394,1,2,recovery,A,9,0,,unclear,0.135480,1,1,1,0,0,0,0,2484.4,49,79,0
2395,1,2,recovery,A,0,1,Monitor the water flow rate and pressure in the distribution network,monitor,0.105680,1,1,1,0,0,0,1,2513.1,83,79,0
2395,1,2,recovery,A,1,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.105680,1,1,1,0,0,0,1,2350.5,45,79,0
2395,1,2,recovery,A,2,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.105680,1,1,1,0,0,0,1,2358.2,49,79,0
2395,1,2,recovery,A,3,0,,unclear,0.105680,1,1,1,0,0,0,0,2495.5,89,79,0
2395,1,2,recovery,A,4,1,Monitor and adjust the water flow rate based on sensor data,monitor,0.105680,1,1,1,0,0,0,1,2376.4,48,79,0
2395,1,2,recovery,A,5,1,Monitor the water flow rate and pressure in the distribution network using current sensor data,monitor,0.105680,1,1,1,0,0,0,1,2335.9,52,79,0
2395,1,2,recovery,A,6,1,Monitor and adjust water flow based on sensor data,monitor,0.105680,1,1,1,0,0,0,1,2385.5,56,79,0
2395,1,2,recovery,A,7,0,,unclear,0.105680,1,1,1,0,0,0,0,2487.1,76,79,0
2395,1,2,recovery,A,8,0,,unclear,0.105680,1,1,1,0,0,0,0,2342.9,49,79,0
2395,1,2,recovery,A,9,1,Monitor and adjust the water flow rate based on sensor readings,monitor,0.105680,1,1,1,0,0,0,1,2368.6,50,79,0
2846,0,3,onset,A,0,1,Monitor and adjust water flow based on sensor data,monitor,0.203021,1,1,1,0,1,0,0,2382.5,45,79,0
2846,0,3,onset,A,1,1,Monitor system pressure and flow rate,monitor,0.203021,1,1,1,0,1,0,0,2402.0,54,79,0
2846,0,3,onset,A,2,1,Monitor and adjust flow rates based on sensor readings,monitor,0.203021,1,1,1,0,1,0,0,2396.1,46,79,0
2846,0,3,onset,A,3,1,Monitor and adjust water flow based on sensor readings,monitor,0.203021,1,1,1,0,1,0,0,2403.2,46,79,0
